Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DOW,GS,HD,HON,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,CRM,TRV,UNH,VZ,V,WBA,WMT,DIS,IBM,PG
2007-01-03,78.26000213623047,60.36000061035156,68.4000015258789,2.992856979370117,89.16999816894531,61.15999984741211,70.97000122070312,27.729999542236328,24.290000915527344,,200.72000122070312,41.06999969482422,42.99696731567383,20.350000381469727,66.4000015258789,48.06999969482422,43.869998931884766,44.02000045776367,29.860000610351562,12.208749771118164,9.017499923706055,53.54999923706055,52.56999969482422,35.306732177734375,,46.06999969482422,47.54999923706055,33.73830032348633,,
2007-01-04,77.94999694824219,59.91999816894531,71.33000183105469,3.059286117553711,89.52999877929688,61.0,70.27999877929688,28.459999084472656,24.299999237060547,,198.85000610351562,40.56999969482422,42.97789764404297,21.170000076293945,67.2300033569336,48.189998626708984,43.540000915527344,45.11000061035156,29.809999465942383,12.333749771118164,9.470000267028809,53.099998474121094,52.90999984741211,35.502777099609375,,46.15999984741211,47.779998779296875,34.00465393066406,,
2007-01-05,77.41999816894531,59.130001068115234,71.5,3.0374999046325684,89.1500015258789,60.220001220703125,70.55000305175781,28.469999313354492,24.1299991607666,,199.0500030517578,39.790000915527344,42.56794738769531,21.100000381469727,66.62000274658203,47.790000915527344,43.540000915527344,44.29999923706055,29.639999389648438,12.353750228881836,9.880000114440918,52.40999984741211,52.54999923706055,34.89596939086914,,45.5,47.38999938964844,33.72843551635742,,
2007-01-08,77.58999633789062,59.689998626708984,70.93000030517578,3.052500009536743,88.94000244140625,60.290000915527344,71.44999694824219,28.6299991607666,24.28499984741211,,203.72999572753906,39.4900016784668,42.82535934448242,21.010000228881836,66.51000213623047,47.95000076293945,43.709999084472656,44.290000915527344,29.93000030517578,12.31624984741211,9.982500076293945,52.02000045776367,53.31999969482422,34.36384963989258,,45.689998626708984,47.0,34.03424835205078,,
2007-01-09,77.68000030517578,59.310001373291016,71.2699966430664,3.3060710430145264,88.0,60.619998931884766,70.62999725341797,28.469999313354492,24.30500030517578,,204.0800018310547,39.31999969482422,43.130435943603516,21.030000686645508,66.26000213623047,47.75,43.790000915527344,43.880001068115234,29.959999084472656,12.470000267028809,9.989999771118164,51.88999938964844,52.68000030517578,34.50387954711914,,45.93000030517578,47.38999938964844,33.98492431640625,,
2007-01-10,77.8499984741211,59.27000045776367,71.04000091552734,3.4642860889434814,89.2699966430664,60.31999969482422,69.41000366210938,28.68000030517578,24.34000015258789,,208.11000061035156,39.779998779296875,42.863494873046875,21.520000457763672,66.1500015258789,48.099998474121094,44.2599983215332,44.119998931884766,29.65999984741211,12.470000267028809,10.057499885559082,51.54999923706055,52.83000183105469,34.307838439941406,,45.58000183105469,47.279998779296875,34.024383544921875,,
2007-01-11,78.6500015258789,59.45000076293945,71.91000366210938,3.421428918838501,88.83999633789062,60.0,68.69000244140625,28.690000534057617,24.3700008392334,,211.8800048828125,40.08000183105469,43.578521728515625,21.920000076293945,66.7300033569336,48.310001373291016,44.5099983215332,44.2599983215332,30.700000762939453,12.4975004196167,10.4350004196167,51.20000076293945,54.45000076293945,34.64391326904297,,46.060001373291016,47.599998474121094,34.517635345458984,,
2007-01-12,79.36000061035156,59.0099983215332,73.2699966430664,3.379286050796509,88.12999725341797,59.7400016784668,70.3499984741211,28.920000076293945,24.274999618530273,,213.99000549316406,40.11000061035156,43.435516357421875,22.1299991607666,66.63999938964844,47.9900016784668,44.220001220703125,44.790000915527344,31.209999084472656,12.470000267028809,10.604999542236328,51.060001373291016,55.099998474121094,34.84929275512695,,46.20000076293945,47.97999954223633,34.73466491699219,,
2007-01-16,79.55999755859375,59.130001068115234,73.5,3.4678568840026855,88.0,59.2400016784668,69.66999816894531,28.040000915527344,24.25,,213.58999633789062,40.290000915527344,43.49271774291992,22.299999237060547,66.54000091552734,48.38999938964844,44.56999969482422,44.95000076293945,31.15999984741211,12.49625015258789,10.824999809265137,51.04999923706055,55.75,34.690589904785156,,46.09000015258789,48.310001373291016,34.55709457397461,,
2007-01-17,78.91000366210938,59.220001220703125,73.93000030517578,3.391071081161499,88.83000183105469,59.90999984741211,70.81999969482422,26.979999542236328,24.299999237060547,,213.22999572753906,40.290000915527344,43.416446685791016,21.040000915527344,66.87000274658203,48.43000030517578,44.86000061035156,45.0099983215332,31.100000381469727,12.477499961853027,10.662500381469727,50.959999084472656,55.650001525878906,34.42919921875,,46.5099983215332,48.20000076293945,34.77412414550781,,
2007-01-18,78.80999755859375,59.0,73.69000244140625,3.1810710430145264,88.0,59.900001525878906,70.91999816894531,26.450000762939453,24.174999237060547,,209.67999267578125,40.869998931884766,42.939762115478516,20.649999618530273,67.70999908447266,48.150001525878906,44.59000015258789,45.7400016784668,31.0,12.458749771118164,10.362500190734863,51.290000915527344,53.79999923706055,35.07334518432617,,46.400001525878906,48.38999938964844,35.366024017333984,,
2007-01-19,79.25,58.09000015258789,74.25,3.1607139110565186,88.62999725341797,59.369998931884766,72.31999969482422,26.700000762939453,24.1299991607666,,210.2899932861328,40.54999923706055,43.178104400634766,20.81999969482422,67.76000213623047,48.7599983215332,44.810001373291016,45.599998474121094,31.110000610351562,12.492500305175781,10.40250015258789,51.369998931884766,53.20000076293945,34.77460861206055,,46.0099983215332,48.310001373291016,35.020748138427734,,
